text,text_clean,tokens,normalisasi,stopword,final_text,label,sterilisasi,stemming
"ada 3 kata kunci.
1. tiba², cepat, sistemik: serangan jantung.
2. cairan tubuh: keracunan, pendarahan hebat.
dua poin ini faktor internal, tapi poin ketiga ada kaitannya ama dunia, yg kebayang;
3. perang nuklir/bencana alam.

: yah setidaknya kematianku cepat.",ada kata kunci tiba cepat sistemik serangan jantung cairan tubuh keracunan pendarahan hebat dua poin ini faktor internal tapi poin ketiga ada kaitannya ama dunia yg kebayang perang nuklir bencana alam yah setidaknya kematianku cepat,"['ada', 'kata', 'kunci', 'tiba', 'cepat', 'sistemik', 'serangan', 'jantung', 'cairan', 'tubuh', 'keracunan', 'pendarahan', 'hebat', 'dua', 'poin', 'ini', 'faktor', 'internal', 'tapi', 'poin', 'ketiga', 'ada', 'kaitannya', 'ama', 'dunia', 'yg', 'kebayang', 'perang', 'nuklir', 'bencana', 'alam', 'yah', 'setidaknya', 'kematianku', 'cepat']","['ada', 'kata', 'kunci', 'tiba', 'cepat', 'sistemik', 'serangan', 'jantung', 'cairan', 'tubuh', 'keracunan', 'pendarahan', 'hebat', 'dua', 'poin', 'ini', 'faktor', 'internal', 'tapi', 'poin', 'ketiga', 'ada', 'kaitannya', 'sama', 'dunia', 'yang', 'kebayang', 'perang', 'nuklir', 'bencana', 'alam', 'yah', 'setidaknya', 'kematianku', 'cepat']","['kata', 'kunci', 'tiba', 'cepat', 'sistemik', 'serangan', 'jantung', 'cairan', 'tubuh', 'keracunan', 'pendarahan', 'hebat', 'poin', 'faktor', 'internal', 'poin', 'ketiga', 'kaitannya', 'sama', 'dunia', 'kebayang', 'perang', 'nuklir', 'bencana', 'alam', 'yah', 'kematianku', 'cepat']",kata kunci tiba cepat sistemik serang jantung cair tubuh racun darah hebat poin faktor internal poin tiga kait sama dunia bayang perang nuklir bencana alam yah mati cepat,tidak berisiko,kata kunci tiba cepat sistemik serang jantung cair tubuh racun darah hebat poin internal poin tiga kait sama dunia bayang perang nuklir bencana alam yah mati cepat,kata kunci tiba cepat sistemik serang jantung cair tubuh racun darah hebat poin faktor internal poin tiga kait sama dunia bayang perang nuklir bencana alam yah mati cepat
"""you are what you eat""

istilah yang lazim kita dengar.
jadi suami si kaka ini kena penyumbatan jantung 65% dan harus pasang ring.

setelah ditelusuri ternyata ada riwayat:
1. riwayat pola makan 
2. riwayat hipertensi 
3. riwayat serangan jantung 

kalau kata dokterikadevi di ig",you are what you eat istilah yang lazim kita dengar jadi suami si kaka ini kena penyumbatan jantung dan harus pasang ring setelah ditelusuri ternyata ada riwayat riwayat pola makan riwayat hipertensi riwayat serangan jantung kalau kata dokterikadevi di ig,"['you', 'are', 'what', 'you', 'eat', 'istilah', 'yang', 'lazim', 'kita', 'dengar', 'jadi', 'suami', 'si', 'kaka', 'ini', 'kena', 'penyumbatan', 'jantung', 'dan', 'harus', 'pasang', 'ring', 'setelah', 'ditelusuri', 'ternyata', 'ada', 'riwayat', 'riwayat', 'pola', 'makan', 'riwayat', 'hipertensi', 'riwayat', 'serangan', 'jantung', 'kalau', 'kata', 'dokterikadevi', 'di', 'ig']","['you', 'are', 'what', 'you', 'eat', 'istilah', 'yang', 'lazim', 'kita', 'dengar', 'jadi', 'suami', 'si', 'kakak', 'ini', 'kena', 'penyumbatan', 'jantung', 'dan', 'harus', 'pasang', 'ring', 'setelah', 'ditelusuri', 'ternyata', 'ada', 'riwayat', 'riwayat', 'pola', 'makan', 'riwayat', 'hipertensi', 'riwayat', 'serangan', 'jantung', 'kalau', 'kata', 'dokterikadevi', 'di', 'ig']","['you', 'are', 'what', 'you', 'eat', 'istilah', 'lazim', 'dengar', 'jadi', 'suami', 'si', 'kakak', 'kena', 'penyumbatan', 'jantung', 'pasang', 'ring', 'ditelusuri', 'ternyata', 'riwayat', 'riwayat', 'pola', 'makan', 'riwayat', 'hipertensi', 'riwayat', 'serangan', 'jantung', 'kalau', 'kata', 'dokterikadevi', 'ig']",you are what you eat istilah lazim dengar jadi suami si kakak kena sumbat jantung pasang ring telusur nyata riwayat riwayat pola makan riwayat hipertensi riwayat serang jantung kalau kata dokterikadevi ig,berisiko,you are what you eat istilah lazim dengar jadi suami si kena sumbat jantung pasang ring telusur nyata riwayat riwayat pola makan riwayat hipertensi riwayat serang jantung kalau kata dokterikadevi ig,you are what you eat istilah lazim dengar jadi suami si kakak kena sumbat jantung pasang ring telusur nyata riwayat riwayat pola makan riwayat hipertensi riwayat serang jantung kalau kata dokterikadevi ig
dan yap papahku juga dulu meninggal karena kena serangan jantung dan faktor pemicunya juga sudah pasti karena merokok bertahun-tahun (makanya sekarang aku sebagai anak juga melakukan pencegahan dengan gak merokok),dan yap papahku juga dulu meninggal karena kena serangan jantung dan faktor pemicunya juga sudah pasti karena merokok bertahun tahun makanya sekarang aku sebagai anak juga melakukan pencegahan dengan gak merokok,"['dan', 'yap', 'papahku', 'juga', 'dulu', 'meninggal', 'karena', 'kena', 'serangan', 'jantung', 'dan', 'faktor', 'pemicunya', 'juga', 'sudah', 'pasti', 'karena', 'merokok', 'bertahun', 'tahun', 'makanya', 'sekarang', 'aku', 'sebagai', 'anak', 'juga', 'melakukan', 'pencegahan', 'dengan', 'gak', 'merokok']","['dan', 'iya', 'papahku', 'juga', 'dulu', 'meninggal', 'karena', 'kena', 'serangan', 'jantung', 'dan', 'faktor', 'pemicunya', 'juga', 'sudah', 'pasti', 'karena', 'merokok', 'bertahun', 'tahun', 'oleh karena itu', 'sekarang', 'aku', 'sebagai', 'anak', 'juga', 'melakukan', 'pencegahan', 'dengan', 'tidak', 'merokok']","['iya', 'papahku', 'dulu', 'meninggal', 'kena', 'serangan', 'jantung', 'faktor', 'pemicunya', 'merokok', 'bertahun', 'tahun', 'oleh karena itu', 'sekarang', 'aku', 'anak', 'melakukan', 'pencegahan', 'merokok']",iya papah dulu tinggal kena serang jantung faktor picu rokok tahun tahun oleh karena itu sekarang aku anak laku cegah rokok,berisiko,iya papah dulu tinggal kena serang jantung picu rokok tahun tahun oleh karena itu sekarang aku anak laku rokok,iya papah dulu tinggal kena serang jantung faktor picu rokok tahun tahun oleh karena itu sekarang aku anak laku cegah rokok
"reaksi gw yg iship di rs rujukan jantung

emg faktor risikonya ekslusif ke laki kah  ya emg sih pasien gw kebanyakan laki tp bukan berarti cewe gabisa anjir  heck lu bahkan bisa kena serangan jantung gara2 olahraga terlalu keras jg",reaksi gw yg iship di rs rujukan jantung emg faktor risikonya ekslusif ke laki kah ya emg sih pasien gw kebanyakan laki tp bukan berarti cewe gabisa anjir heck lu bahkan bisa kena serangan jantung gara olahraga terlalu keras jg,"['reaksi', 'gw', 'yg', 'iship', 'di', 'rs', 'rujukan', 'jantung', 'emg', 'faktor', 'risikonya', 'ekslusif', 'ke', 'laki', 'kah', 'ya', 'emg', 'sih', 'pasien', 'gw', 'kebanyakan', 'laki', 'tp', 'bukan', 'berarti', 'cewe', 'gabisa', 'anjir', 'heck', 'lu', 'bahkan', 'bisa', 'kena', 'serangan', 'jantung', 'gara', 'olahraga', 'terlalu', 'keras', 'jg']","['reaksi', 'saya', 'yang', 'iship', 'di', 'rumah sakit', 'rujukan', 'jantung', 'memang', 'faktor', 'risikonya', 'ekslusif', 'ke', 'laki', 'kah', 'iya', 'memang', 'sih', 'pasien', 'saya', 'terlalu banyak', 'laki', 'tapi', 'bukan', 'berarti', 'cewek', 'tidak bisa', 'anjing', 'heck', 'kamu', 'bahkan', 'bisa', 'kena', 'serangan', 'jantung', 'gara', 'olahraga', 'terlalu', 'keras', 'juga']","['reaksi', 'iship', 'rumah sakit', 'rujukan', 'jantung', 'memang', 'faktor', 'risikonya', 'ekslusif', 'laki', 'iya', 'memang', 'sih', 'pasien', 'terlalu banyak', 'laki', 'bukan', 'berarti', 'cewek', 'tidak bisa', 'anjing', 'heck', 'kamu', 'bahkan', 'kena', 'serangan', 'jantung', 'gara', 'olahraga', 'terlalu', 'keras']",reaksi iship rumah sakit rujuk jantung memang faktor risiko ekslusif laki iya memang sih pasien terlalu banyak laki bukan arti cewek tidak bisa anjing heck kamu bahkan kena serang jantung gara olahraga terlalu keras,tidak berisiko,reaksi iship rumah sakit rujuk jantung memang ekslusif laki iya memang sih terlalu banyak laki bukan arti cewek tidak bisa anjing heck kamu bahkan kena serang jantung gara olahraga terlalu keras,reaksi iship rumah sakit rujuk jantung memang faktor risiko ekslusif laki iya memang sih pasien terlalu banyak laki bukan arti cewek tidak bisa anjing heck kamu bahkan kena serang jantung gara olahraga terlalu keras
"risiko serangan jantung bisa menyerang  dari usia kurang dari 40 tahun, hati-hati bagi kita semua terutama yang memiliki faktor risiko (darah tinggi, kolesterol, obesitas, perokok).",risiko serangan jantung bisa menyerang dari usia kurang dari tahun hati hati bagi kita semua terutama yang memiliki faktor risiko darah tinggi kolesterol obesitas perokok,"['risiko', 'serangan', 'jantung', 'bisa', 'menyerang', 'dari', 'usia', 'kurang', 'dari', 'tahun', 'hati', 'hati', 'bagi', 'kita', 'semua', 'terutama', 'yang', 'memiliki', 'faktor', 'risiko', 'darah', 'tinggi', 'kolesterol', 'obesitas', 'perokok']","['risiko', 'serangan', 'jantung', 'bisa', 'menyerang', 'dari', 'usia', 'kurang', 'dari', 'tahun', 'hati', 'hati', 'bagi', 'kita', 'semua', 'terutama', 'yang', 'memiliki', 'faktor', 'risiko', 'darah', 'tinggi', 'kolesterol', 'obesitas', 'perokok']","['risiko', 'serangan', 'jantung', 'menyerang', 'usia', 'kurang', 'tahun', 'hati', 'hati', 'semua', 'terutama', 'memiliki', 'faktor', 'risiko', 'darah', 'tinggi', 'kolesterol', 'obesitas', 'perokok']",risiko serang jantung serang usia kurang tahun hati hati semua utama milik faktor risiko darah tinggi kolesterol obesitas okok,berisiko,serang jantung serang usia kurang tahun hati hati semua utama milik darah tinggi kolesterol obesitas okok,risiko serang jantung serang usia kurang tahun hati hati semua utama milik faktor risiko darah tinggi kolesterol obesitas okok
"dokter jantung jepang mengatakan 80% serangan jantung dimulai dari satu kesalahan di pagi hari, dan kebanyakan orang melakukannya!. dokter jantung jepang memeriksa pasien yang tampak ""sempurna di atas kertas"" selama lebih dari 20 tahun. 

berat badan sehat, tidak merokok
tidak",dokter jantung jepang mengatakan serangan jantung dimulai dari satu kesalahan di pagi hari dan kebanyakan orang melakukannya dokter jantung jepang memeriksa pasien yang tampak sempurna di atas kertas selama lebih dari tahun berat badan sehat tidak merokok tidak,"['dokter', 'jantung', 'jepang', 'mengatakan', 'serangan', 'jantung', 'dimulai', 'dari', 'satu', 'kesalahan', 'di', 'pagi', 'hari', 'dan', 'kebanyakan', 'orang', 'melakukannya', 'dokter', 'jantung', 'jepang', 'memeriksa', 'pasien', 'yang', 'tampak', 'sempurna', 'di', 'atas', 'kertas', 'selama', 'lebih', 'dari', 'tahun', 'berat', 'badan', 'sehat', 'tidak', 'merokok', 'tidak']","['dokter', 'jantung', 'jepang', 'mengatakan', 'serangan', 'jantung', 'dimulai', 'dari', 'satu', 'kesalahan', 'di', 'pagi', 'hari', 'dan', 'terlalu banyak', 'orang', 'melakukannya', 'dokter', 'jantung', 'jepang', 'memeriksa', 'pasien', 'yang', 'tampak', 'sempurna', 'di', 'atas', 'kertas', 'selama', 'lebih', 'dari', 'tahun', 'berat', 'badan', 'sehat', 'tidak', 'merokok', 'tidak']","['dokter', 'jantung', 'jepang', 'mengatakan', 'serangan', 'jantung', 'dimulai', 'satu', 'kesalahan', 'pagi', 'hari', 'terlalu banyak', 'orang', 'melakukannya', 'dokter', 'jantung', 'jepang', 'memeriksa', 'pasien', 'tampak', 'sempurna', 'atas', 'kertas', 'selama', 'lebih', 'tahun', 'berat', 'badan', 'sehat', 'merokok']",dokter jantung jepang kata serang jantung mulai satu salah pagi hari terlalu banyak orang laku dokter jantung jepang periksa pasien tampak sempurna atas kertas lama lebih tahun berat badan sehat rokok,berisiko,jantung jepang kata serang jantung mulai satu salah pagi hari terlalu banyak laku jantung jepang periksa tampak sempurna atas kertas lama lebih tahun berat badan sehat rokok,dokter jantung jepang kata serang jantung mulai satu salah pagi hari terlalu banyak orang laku dokter jantung jepang periksa pasien tampak sempurna atas kertas lama lebih tahun berat badan sehat rokok
"angin duduk itu sebutan awam utk masalah jantung akibat aliran darah ke jantung yg terganggu (mulai dari angina sampai serangan jantung)

yg tbtb meninggal begini, kemungkinan punya kondisi pendahulu yg tdk disadari krn ga pernah check up

hipertensi itu ga bergejala sbg salah",angin duduk itu sebutan awam utk masalah jantung akibat aliran darah ke jantung yg terganggu mulai dari angina sampai serangan jantung yg tbtb meninggal begini kemungkinan punya kondisi pendahulu yg tdk disadari krn ga pernah check up hipertensi itu ga bergejala sbg salah,"['angin', 'duduk', 'itu', 'sebutan', 'awam', 'utk', 'masalah', 'jantung', 'akibat', 'aliran', 'darah', 'ke', 'jantung', 'yg', 'terganggu', 'mulai', 'dari', 'angina', 'sampai', 'serangan', 'jantung', 'yg', 'tbtb', 'meninggal', 'begini', 'kemungkinan', 'punya', 'kondisi', 'pendahulu', 'yg', 'tdk', 'disadari', 'krn', 'ga', 'pernah', 'check', 'up', 'hipertensi', 'itu', 'ga', 'bergejala', 'sbg', 'salah']","['angin', 'duduk', 'itu', 'sebutan', 'awam', 'untuk', 'masalah', 'jantung', 'akibat', 'aliran', 'darah', 'ke', 'jantung', 'yang', 'terganggu', 'mulai', 'dari', 'angina', 'sampai', 'serangan', 'jantung', 'yang', 'tiba tiba', 'meninggal', 'begini', 'kemungkinan', 'punya', 'kondisi', 'pendahulu', 'yang', 'tidak', 'disadari', 'karena', 'tidak', 'pernah', 'check', 'up', 'hipertensi', 'itu', 'tidak', 'bergejala', 'sebagai', 'salah']","['angin', 'duduk', 'sebutan', 'awam', 'masalah', 'jantung', 'akibat', 'aliran', 'darah', 'jantung', 'terganggu', 'mulai', 'angina', 'serangan', 'jantung', 'tiba tiba', 'meninggal', 'begini', 'kemungkinan', 'punya', 'kondisi', 'pendahulu', 'disadari', 'pernah', 'check', 'up', 'hipertensi', 'bergejala', 'salah']",angin duduk sebut awam masalah jantung akibat alir darah jantung ganggu mulai angina serang jantung tiba tiba tinggal begini mungkin punya kondisi dahulu sadar pernah check up hipertensi gejala salah,berisiko,angin duduk sebut awam masalah jantung akibat alir darah jantung ganggu mulai angina serang jantung tiba tiba tinggal begini mungkin punya kondisi dahulu sadar pernah check up hipertensi salah,angin duduk sebut awam masalah jantung akibat alir darah jantung ganggu mulai angina serang jantung tiba tiba tinggal begini mungkin punya kondisi dahulu sadar pernah check up hipertensi gejala salah
"beberapa nama artis indonesia yang meninggal di usia muda dan dikenal tidak merokok serta hidup sehat: 
- vidi aldiano (penyanyi, wafat usia 35 tahun pada 2026 karena kanker ginjal). 
- ashraf sinclair (aktor, wafat usia 40 tahun pada 2020 karena serangan jantung). 

memang,",beberapa nama artis indonesia yang meninggal di usia muda dan dikenal tidak merokok serta hidup sehat vidi aldiano penyanyi wafat usia tahun pada karena kanker ginjal ashraf sinclair aktor wafat usia tahun pada karena serangan jantung memang,"['beberapa', 'nama', 'artis', 'indonesia', 'yang', 'meninggal', 'di', 'usia', 'muda', 'dan', 'dikenal', 'tidak', 'merokok', 'serta', 'hidup', 'sehat', 'vidi', 'aldiano', 'penyanyi', 'wafat', 'usia', 'tahun', 'pada', 'karena', 'kanker', 'ginjal', 'ashraf', 'sinclair', 'aktor', 'wafat', 'usia', 'tahun', 'pada', 'karena', 'serangan', 'jantung', 'memang']","['beberapa', 'nama', 'artis', 'indonesia', 'yang', 'meninggal', 'di', 'usia', 'muda', 'dan', 'dikenal', 'tidak', 'merokok', 'serta', 'hidup', 'sehat', 'vidi', 'aldiano', 'penyanyi', 'wafat', 'usia', 'tahun', 'pada', 'karena', 'kanker', 'ginjal', 'ashraf', 'sinclair', 'aktor', 'wafat', 'usia', 'tahun', 'pada', 'karena', 'serangan', 'jantung', 'memang']","['beberapa', 'nama', 'artis', 'indonesia', 'meninggal', 'usia', 'muda', 'dikenal', 'merokok', 'hidup', 'sehat', 'vidi', 'aldiano', 'penyanyi', 'wafat', 'usia', 'tahun', 'kanker', 'ginjal', 'ashraf', 'sinclair', 'aktor', 'wafat', 'usia', 'tahun', 'serangan', 'jantung', 'memang']",beberapa nama artis indonesia tinggal usia muda kenal rokok hidup sehat vidi aldiano nyanyi wafat usia tahun kanker ginjal ashraf sinclair aktor wafat usia tahun serang jantung memang,berisiko,beberapa nama artis indonesia tinggal usia muda kenal rokok hidup sehat vidi aldiano nyanyi wafat usia tahun kanker ginjal ashraf sinclair aktor wafat usia tahun serang jantung memang,beberapa nama artis indonesia tinggal usia muda kenal rokok hidup sehat vidi aldiano nyanyi wafat usia tahun kanker ginjal ashraf sinclair aktor wafat usia tahun serang jantung memang
"izin menjelaskan tentang jatuh di kamar mandi ini, terutama pada orang yang stroke atau serangan jantung serta pada lansia

jadi kamar mandi itu memang area yang berisiko jatuh, karena areanya licin akibat lantai basah, pencahayaan cenderung redup, serta mayoritas tidak ada",izin menjelaskan tentang jatuh di kamar mandi ini terutama pada orang yang stroke atau serangan jantung serta pada lansia jadi kamar mandi itu memang area yang berisiko jatuh karena areanya licin akibat lantai basah pencahayaan cenderung redup serta mayoritas tidak ada,"['izin', 'menjelaskan', 'tentang', 'jatuh', 'di', 'kamar', 'mandi', 'ini', 'terutama', 'pada', 'orang', 'yang', 'stroke', 'atau', 'serangan', 'jantung', 'serta', 'pada', 'lansia', 'jadi', 'kamar', 'mandi', 'itu', 'memang', 'area', 'yang', 'berisiko', 'jatuh', 'karena', 'areanya', 'licin', 'akibat', 'lantai', 'basah', 'pencahayaan', 'cenderung', 'redup', 'serta', 'mayoritas', 'tidak', 'ada']","['izin', 'menjelaskan', 'tentang', 'jatuh', 'di', 'kamar', 'mandi', 'ini', 'terutama', 'pada', 'orang', 'yang', 'stroke', 'atau', 'serangan', 'jantung', 'serta', 'pada', 'lanjut usia', 'jadi', 'kamar', 'mandi', 'itu', 'memang', 'area', 'yang', 'berisiko', 'jatuh', 'karena', 'areanya', 'licin', 'akibat', 'lantai', 'basah', 'pencahayaan', 'cenderung', 'redup', 'serta', 'mayoritas', 'tidak', 'ada']","['izin', 'menjelaskan', 'jatuh', 'kamar', 'mandi', 'terutama', 'orang', 'stroke', 'serangan', 'jantung', 'lanjut usia', 'jadi', 'kamar', 'mandi', 'memang', 'area', 'berisiko', 'jatuh', 'areanya', 'licin', 'akibat', 'lantai', 'basah', 'pencahayaan', 'cenderung', 'redup', 'mayoritas']",izin jelas jatuh kamar mandi utama orang stroke serang jantung lanjut usia jadi kamar mandi memang area risiko jatuh area licin akibat lantai basah cahaya cenderung redup mayoritas,tidak berisiko,izin jelas jatuh kamar mandi utama stroke serang jantung lanjut usia jadi kamar mandi memang area jatuh area licin akibat lantai basah cahaya cenderung redup mayoritas,izin jelas jatuh kamar mandi utama orang stroke serang jantung lanjut usia jadi kamar mandi memang area risiko jatuh area licin akibat lantai basah cahaya cenderung redup mayoritas
"secara statistik dan biologis, ada alasan kuat kenapa laki-laki punya angka harapan hidup lebih pendek. pertama, faktor hormonal. perempuan punya ""proteksi"" alami berupa hormon estrogen yang menjaga kelenturan pembuluh darah dan kesehatan jantung sampai masa menopause. laki-laki",secara statistik dan biologis ada alasan kuat kenapa laki laki punya angka harapan hidup lebih pendek pertama faktor hormonal perempuan punya proteksi alami berupa hormon estrogen yang menjaga kelenturan pembuluh darah dan kesehatan jantung sampai masa menopause laki laki,"['secara', 'statistik', 'dan', 'biologis', 'ada', 'alasan', 'kuat', 'kenapa', 'laki', 'laki', 'punya', 'angka', 'harapan', 'hidup', 'lebih', 'pendek', 'pertama', 'faktor', 'hormonal', 'perempuan', 'punya', 'proteksi', 'alami', 'berupa', 'hormon', 'estrogen', 'yang', 'menjaga', 'kelenturan', 'pembuluh', 'darah', 'dan', 'kesehatan', 'jantung', 'sampai', 'masa', 'menopause', 'laki', 'laki']","['secara', 'statistik', 'dan', 'biologis', 'ada', 'alasan', 'kuat', 'kenapa', 'laki', 'laki', 'punya', 'angka', 'harapan', 'hidup', 'lebih', 'pendek', 'pertama', 'faktor', 'hormonal', 'perempuan', 'punya', 'proteksi', 'alami', 'berupa', 'hormon', 'estrogen', 'yang', 'menjaga', 'kelenturan', 'pembuluh', 'darah', 'dan', 'kesehatan', 'jantung', 'sampai', 'masa', 'menopause', 'laki', 'laki']","['statistik', 'biologis', 'alasan', 'kuat', 'laki', 'laki', 'punya', 'angka', 'harapan', 'hidup', 'lebih', 'pendek', 'pertama', 'faktor', 'hormonal', 'perempuan', 'punya', 'proteksi', 'alami', 'berupa', 'hormon', 'estrogen', 'menjaga', 'kelenturan', 'pembuluh', 'darah', 'kesehatan', 'jantung', 'masa', 'menopause', 'laki', 'laki']",statistik biologis alas kuat laki laki punya angka harap hidup lebih pendek pertama faktor hormonal perempuan punya proteksi alami upa hormon estrogen jaga lentur buluh darah sehat jantung masa menopause laki laki,tidak berisiko,statistik biologis alas kuat laki laki punya angka harap hidup lebih pendek pertama hormonal perempuan punya proteksi alami upa hormon estrogen jaga lentur buluh darah sehat jantung masa menopause laki laki,statistik biologis alas kuat laki laki punya angka harap hidup lebih pendek pertama faktor hormonal perempuan punya proteksi alami upa hormon estrogen jaga lentur buluh darah sehat jantung masa menopause laki laki
